Feature.ID	Taxon	Confidence
6d3f8c9884d2747a3935d0fc2821c0ff	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae	0.996484597541787
2b07a4a5a9ef578a116467e293fce38d	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Aspergillus	0.999999447893911
7cb27fb6f423a8c03988a0f9f1726d32	k__Fungi	0.999999999999991
0ce0f59a1caa769a8fe60874b0ebaddc	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Peniophoraceae;g__Peniophora;s__unidentified	0.903763861530526
4247a4949edaff546cdac129ea5a2eec	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Aspergillus;s__Aspergillus_pseudodeflectus	0.88087512077925
bda57f5c62975c6920584424720030ed	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Alternaria;s__Alternaria_subcucurbitae	0.979666958964107
d53f4e7b82120aeb3f68538333365e6e	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Penicillium;s__Penicillium_decumbens	0.99892695359539
4208b4862e6d48f587f4f7487b918513	k__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Sporidiobolales;f__Sporidiobolaceae;g__Rhodotorula;s__Rhodotorula_mucilaginosa	0.979137936403208
d5a24d9d02f7267a1cabbe0a5dd0e32c	k__Fungi	0.999999999999997
8035ed950dd917fda8aa1e17111cea04	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Penicillium	0.999999971279746
8d8cf669714fc2ffd03c8232e56da8e0	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Alternaria;s__Alternaria_alternata	0.823443470316898
d172bfe58c8ea1fd4a92f945f6eb7609	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Peniophoraceae	0.999228118108392
df5b3a6f4aa6468f61e1be8a2867ab79	k__Fungi;p__Ascomycota	0.999974940480703
06b588f7170813c66e461df352e49561	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Mycosphaerellaceae;g__Mycosphaerella;s__Mycosphaerella_tassiana	0.987227946844121
9cc15d74a7402bcc4dac51c5caa81074	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Penicillium	0.999999708761275
a5751d1646e2ae44b630aac21106ed98	k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pyronemataceae	0.850237278236522
30542773b7d06a1c960932ab98d6a72d	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreales_fam_Incertae_sedis;g__Emericellopsis;s__unidentified	0.99697572861413
28bf43bb1436ace6d73e9b026987af45	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Penicillium;s__Penicillium_citrinum	0.999992626393364
aa0de930057456a1b97595d368f39328	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Aspergillus	0.999999938307067
f4e41c5a7d4b8a9b302c75e26be0bf5c	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Mycosphaerellaceae;g__Mycosphaerella;s__Mycosphaerella_tassiana	0.870440327538964
4b577a80a00c68c9d672690174ae372a	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Aspergillus	0.999999980970103
1859c3d0ca18c9e214f04a78a7e887fa	k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycetaceae;g__Saccharomyces;s__Saccharomyces_paradoxus	0.964958479336411
660a802da8bdbb58f5e2c8a127449f9f	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Penicillium;s__Penicillium_glabrum	0.890695032174714
9b0e1db7ec830852fe6722eb2cdbf5ee	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Alternaria;s__Alternaria_subcucurbitae	0.961436763435761
df1ff5a86911b92cd5ebe920162da483	k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycetaceae;g__Saccharomyces	0.999999995780296
34ca438009327cc99a09060ca052b3bf	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Aspergillus;s__Aspergillus_sydowii	0.996620563127318
34752a51559d1cf7a8a7b834b4f6fe03	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Cladosporiaceae;g__Cladosporium;s__Cladosporium_velox	0.999866791266781
7a8067dffcb01fa3a32ce26073f43362	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymellaceae;g__Peyronellaea;s__Peyronellaea_eucalypti	0.933607802995765
459cd44586b3a6a98b0b4cebfbbee790	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Rhynchogastremataceae;g__Papiliotrema;s__Papiliotrema_flavescens	0.979592258383277
590dafa640aa33a499432a41a7ea6f47	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Alternaria;s__Alternaria_subcucurbitae	0.983437332244787
