CouponTime	Shannon_ITS
1.T1	2.6238678792012857
1.T2	0.6719994697595151
1.T3	1.9045097682835748
1.T4	1.4847110814905913
11.T1	3.853280011547998
11.T2	1.4413434564516758
11.T3	0.5304929820397083
11.T4	1.236100265009908
13.T1	2.4500877750383583
13.T2	0.7646187861387747
13.T3	2.7080258811873485
13.T4	2.0923641855001107
15.T0	3.6549427074092673
15.T1	2.7442077903107176
15.T2	1.2854365521953872
15.T3	1.412313688312848
15.T4	2.29494065518775
17.T1	3.1897285860804785
17.T2	1.9067433747955245
17.T3	2.9154555402922626
17.T4	1.6920655857214915
19.T1	2.908897603229114
19.T2	0.7470171875495691
19.T3	0.5634379041463619
19.T4	0.9625546206145833
21.T1	1.1677172775706839
21.T2	2.2975652731165113
21.T3	2.599876926180752
21.T4	2.7768068209933983
22.T0	3.791737900492887
23.T1	0.6168332830175921
23.T2	2.1434465548931088
23.T4	2.678607409236091
25.T1	1.307850816285756
25.T2	2.2962498126387403
25.T3	3.0090097549315287
25.T4	2.5437483025604637
27.T1	2.401600420277427
27.T2	3.148329832783013
27.T3	3.1977772986348167
27.T4	2.9629421850279245
29.T1	2.592975708955726
29.T2	3.0333160237938794
29.T3	2.1548787452934794
29.T4	2.9000158597467864
3.T1	3.0589057277678284
3.T2	1.5825615758111204
3.T3	1.7538919450302004
3.T4	1.818233898178153
31.T1	2.22876932325832
31.T2	2.6068934112633855
31.T3	2.8140432669541005
31.T4	2.0852857000204033
33.T2	2.3293450611939406
33.T3	2.8955450855224396
33.T4	2.043074893994984
35.T1	2.5963105691389323
35.T2	2.140216030399829
35.T3	2.2650682861312044
35.T4	1.7958772983064435
37.T1	1.9517501227194578
37.T4	2.1044046546279893
38.T2	2.0854685038702385
39.T1	2.058038516660844
39.T2	1.0628236599238403
39.T3	2.3667787264687266
39.T4	2.6961214655786496
41.T0	3.085253010138025
41.T1	3.0092161363284777
41.T2	3.2814516687465876
41.T3	3.1917136256010945
41.T4	0.08298642029438878
42.T2	2.6553739370986422
43.T1	3.1031663838961285
43.T3	3.6016130641621134
43.T4	3.4820660389021785
45.T0	3.8657762148235237
45.T1	3.056608296345897
45.T2	0.40305228574344704
45.T3	2.621412404612812
45.T4	2.91918340688784
47.T1	3.2545328213299314
47.T2	3.767753200185306
47.T3	3.2589088926333925
47.T4	2.9832824113773593
49.T1	3.0415044728421847
49.T3	3.1378962482289197
49.T4	3.568775110564879
5.T0	3.305129872393445
5.T1	2.0599415157652388
5.T2	1.9494137753462035
5.T3	2.358629077537425
5.T4	2.0570162179448452
50.T2	2.635938284142248
51.T0	1.1884181095247524
51.T1	3.2613233930119114
51.T2	3.4366337177300874
51.T3	3.479868668036919
51.T4	3.147089300906941
53.T1	2.693364696504575
53.T2	2.390006165294093
53.T3	2.859996146878561
53.T4	3.3903116272707527
55.T0	3.954685687453115
55.T1	2.032698895955975
55.T2	3.3022011213259193
55.T3	3.092845261197095
55.T4	2.8658476819387118
57.T1	2.6387328489467796
57.T2	3.637622582444035
57.T3	3.802512274180265
57.T4	3.0087014206177907
59.T1	3.2421529969704097
59.T2	2.9594510853650484
59.T3	3.0268611646452173
59.T4	3.067159195671584
7.T1	3.473731499646931
7.T2	1.281728973859406
7.T3	2.3882247814074438
7.T4	3.804646118554728
9.T1	2.052381833414334
9.T2	0.5981769024135576
9.T3	1.091110648312687
9.T4	1.7584892118455262
