Domain	Phlyum	Class	Order	Family	Genus	Species	1.T0	1.T1	1.T2	1.T3	1.T4	11.T0	11.T1	11.T2	11.T3	11.T4	13.T1	13.T2	13.T3	13.T4	15.T0	15.T1	15.T2	15.T3	15.T4	17.T1	17.T2	17.T3	17.T4	19.T1	19.T2	19.T3	19.T4	21.T0	21.T1	21.T2	21.T3	21.T4	22.T0	23.T1	23.T2	23.T4	25.T1	25.T2	25.T3	25.T4	27.T1	27.T2	27.T3	27.T4	29.T1	29.T2	29.T3	29.T4	3.T1	3.T2	3.T3	3.T4	31.T0	31.T1	31.T2	31.T3	31.T4	33.T0	33.T1	33.T2	33.T3	33.T4	35.T1	35.T2	35.T3	35.T4	37.T1	37.T3	37.T4	38.T2	39.T1	39.T2	39.T3	39.T4	41.T0	41.T1	41.T2	41.T3	41.T4	42.T2	43.T1	43.T3	43.T4	45.T0	45.T1	45.T2	45.T3	45.T4	47.T1	47.T2	47.T3	47.T4	49.T1	49.T3	49.T4	5.T0	5.T1	5.T2	5.T3	5.T4	50.T2	51.T0	51.T1	51.T2	51.T3	51.T4	53.T1	53.T2	53.T3	53.T4	55.T0	55.T1	55.T2	55.T3	55.T4	57.T1	57.T2	57.T3	57.T4	59.T1	59.T2	59.T3	59.T4	7.T1	7.T2	7.T3	7.T4	9.T1	9.T2	9.T3	9.T4	N1	P1	P2
Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus		26.0	111.0	84.0	63.0	95.0	162.0	925.0	605.0	148.0	146.0	772.0	192.0	216.0	666.0	54.0	949.0	288.0	1958.0	1129.0	664.0	168.0	2228.0	149.0	654.0	114.0	327.0	197.0	22.0	188.0	5951.0	169.0	4781.0	244.0	141.0	2770.0	4770.0	90.0	958.0	210.0	123.0	316.0	107.0	137.0	228.0	70.0	3926.0	318.0	1573.0	433.0	2664.0	20804.0	23323.0	85.0	3646.0	166.0	424.0	162.0	76.0	216.0	401.0	1072.0	74.0	284.0	36.0	129.0	323.0	395.0	37.0	75.0	431.0	691.0	212.0	173.0	1129.0	752.0	9809.0	2506.0	659.0	619.0	2495.0	3604.0	675.0	10658.0	2920.0	802.0	10.0	23556.0	11853.0	1288.0	3272.0	1000.0	234.0	14562.0	611.0	1858.0	1627.0	55.0	167.0	142.0	173.0	271.0	81.0	3756.0	448.0	829.0	57.0	1222.0	239.0	123.0	48.0	276.0	217.0	214.0	2918.0	234.0	16460.0	559.0	457.0	751.0	1300.0	139.0	132.0	116.0	334.0	341.0	393.0	7575.0	99.0	244.0	7335.0	2431.0	0.0	582.0	419.0
Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Peyronellaea	Peyronellaea_eucalypti	0.0	41.0	35.0	45.0	74.0	0.0	38.0	110.0	90.0	85.0	135.0	109.0	234.0	165.0	186.0	1192.0	92.0	54.0	158.0	526.0	79.0	33.0	20.0	752.0	43.0	158.0	102.0	0.0	65.0	107.0	23.0	102.0	186.0	88.0	85.0	277.0	48.0	294.0	163.0	124.0	70.0	58.0	90.0	97.0	47.0	299.0	83.0	121.0	100.0	127.0	85.0	41.0	36.0	55.0	78.0	41.0	59.0	159.0	0.0	66.0	102.0	52.0	254.0	11.0	19.0	159.0	84.0	46.0	34.0	108.0	46.0	70.0	62.0	68.0	98.0	95.0	85.0	161.0	55.0	165.0	1839.0	617.0	497.0	123.0	46.0	0.0	37.0	74.0	11768.0	5533.0	571.0	91.0	62.0	32.0	197.0	25.0	25.0	53.0	39.0	58.0	6227.0	0.0	132.0	146.0	214.0	21.0	237.0	29812.0	21891.0	8701.0	121.0	63.0	4578.0	113.0	47.0	102.0	101.0	105.0	82.0	1803.0	88.0	4814.0	357.0	367.0	133.0	136.0	4052.0	44.0	88.0	128.0	95.0	0.0	37.0	56.0
Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Chaetomium	unidentified	70.0	52.0	0.0	26.0	41.0	32.0	16.0	90.0	39.0	37.0	98.0	0.0	205.0	57.0	0.0	30.0	37.0	55.0	137.0	123.0	52.0	7437.0	3.0	330.0	31.0	302.0	40.0	0.0	89.0	80.0	0.0	25.0	40.0	27.0	22.0	92.0	41.0	441.0	0.0	109.0	27.0	0.0	24.0	41.0	23.0	352.0	77.0	46808.0	0.0	78.0	60.0	24.0	19.0	26.0	28.0	0.0	32.0	15.0	0.0	17.0	9084.0	36.0	44.0	9.0	20.0	151.0	45.0	0.0	46.0	50.0	17.0	89.0	42.0	60.0	0.0	38.0	42.0	177.0	18.0	64.0	46.0	0.0	33.0	420.0	0.0	6.0	32.0	54.0	43.0	37.0	29.0	33.0	32.0	20.0	49.0	1515.0	33.0	39.0	0.0	32.0	49.0	0.0	508.0	8273.0	295.0	330.0	2.0	0.0	255.0	488.0	35.0	35.0	60.0	43.0	15.0	57.0	46.0	0.0	0.0	25.0	13.0	42.0	46.0	85.0	72.0	2486.0	1824.0	24.0	42.0	53.0	91.0	5.0	22.0	47.0
Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Mycosphaerella	Mycosphaerella_tassiana	5.0	87.0	40.0	12.0	20.0	46.0	816.0	45.0	27.0	29.0	87.0	31.0	243.0	66.0	96.0	16.0	71.0	56.0	94.0	19.0	44.0	95.0	25.0	214.0	20.0	65.0	43.0	71.0	49.0	158.0	24.0	474.0	101.0	35.0	19.0	179.0	223.0	747.0	56.0	685.0	37.0	123.0	19.0	97.0	17.0	122.0	153.0	311.0	114.0	81.0	46.0	44.0	12.0	70.0	273.0	688.0	71.0	17.0	38.0	101.0	97.0	186.0	6982.0	13.0	24.0	400.0	297.0	0.0	25.0	392.0	762.0	146.0	345.0	1061.0	495.0	469.0	1715.0	49.0	420.0	1896.0	2185.0	711.0	232.0	484.0	601.0	0.0	3151.0	1772.0	3221.0	435.0	214.0	223.0	563.0	131.0	247.0	55.0	0.0	28.0	12.0	27.0	169.0	14.0	12227.0	3049.0	2531.0	2241.0	1056.0	499.0	1101.0	358.0	86.0	518.0	2182.0	2848.0	120.0	613.0	3261.0	1299.0	553.0	2210.0	2247.0	5964.0	3624.0	52.0	44.0	34.0	465.0	128.0	110.0	75.0	40.0	0.0	16.0	89.0
Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae			25.0	339.0	0.0	54.0	181.0	0.0	15.0	40.0	40.0	33.0	20.0	25.0	32.0	41.0	0.0	0.0	51.0	52.0	43.0	19.0	29.0	36.0	20.0	344.0	31.0	38.0	40.0	0.0	20.0	22.0	9.0	17.0	0.0	30.0	0.0	100.0	17.0	248.0	0.0	56.0	95.0	0.0	21.0	49.0	23.0	18.0	38.0	52.0	0.0	43.0	41.0	17.0	12.0	18.0	33.0	2815.0	26.0	5.0	0.0	14.0	14.0	17.0	0.0	0.0	10.0	112.0	38.0	0.0	20.0	41.0	505.0	39.0	36.0	29668.0	45.0	33.0	40.0	15.0	12589.0	1647.0	24.0	0.0	20.0	79.0	15.0	0.0	24.0	23.0	37.0	34.0	40.0	34.0	28.0	13.0	25.0	8.0	13.0	20.0	13.0	29.0	30.0	0.0	78.0	34.0	27.0	13.0	24.0	32.0	23.0	8.0	177.0	7.0	48.0	61.0	25.0	41.0	43.0	46.0	43.0	23.0	13.0	32.0	26.0	885.0	46.0	105.0	2339.0	32.0	41.0	62.0	63.0	0.0	20.0	0.0
Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus_sydowii	0.0	14.0	15.0	25.0	4661.0	25.0	224.0	81.0	32.0	108.0	44.0	94.0	2550.0	19097.0	0.0	0.0	102.0	183.0	82.0	21.0	24.0	22.0	21.0	326.0	105.0	104.0	1689.0	7.0	20.0	169.0	390.0	233.0	37.0	40.0	21.0	70.0	11.0	212.0	895.0	38.0	86.0	357.0	0.0	54.0	178.0	39.0	103.0	57.0	102.0	33.0	62.0	19.0	0.0	133.0	1396.0	9.0	66.0	12.0	0.0	139.0	25.0	19.0	0.0	0.0	31.0	27.0	13.0	16.0	15.0	21.0	23.0	29.0	33.0	33.0	42.0	18.0	38.0	66.0	17.0	201.0	225.0	30.0	47.0	38.0	101.0	0.0	411.0	1244.0	51.0	600.0	26.0	24.0	25.0	20.0	30.0	17.0	194.0	1426.0	5039.0	13645.0	20.0	0.0	228.0	47.0	33.0	39.0	65.0	41.0	13.0	0.0	0.0	18.0	84.0	55.0	0.0	42.0	36.0	0.0	25.0	27.0	86.0	232.0	30.0	450.0	59.0	81.0	1538.0	19.0	31.0	49.0	38.0	0.0	16.0	22.0
Fungi	Basidiomycota	Agaricomycetes	Russulales	Peniophoraceae			25.0	0.0	307.0	45.0	38.0	0.0	1532.0	22.0	33.0	0.0	36.0	0.0	0.0	74.0	136.0	28.0	50.0	52.0	106.0	0.0	0.0	33.0	0.0	170.0	51.0	57.0	89.0	56.0	19.0	140.0	0.0	0.0	34.0	63.0	55.0	67.0	41.0	257.0	0.0	0.0	65.0	19.0	0.0	125.0	0.0	0.0	224.0	62.0	68.0	108.0	53.0	52.0	79.0	40.0	130.0	48.0	0.0	27.0	0.0	0.0	40.0	0.0	0.0	0.0	0.0	0.0	58.0	0.0	0.0	38.0	77.0	0.0	0.0	53.0	9256.0	365.0	5935.0	66.0	5.0	170.0	43.0	1497.0	3443.0	6182.0	24.0	9.0	54.0	54.0	53.0	0.0	39.0	12.0	171.0	229.0	965.0	0.0	0.0	49.0	32.0	0.0	748.0	0.0	65.0	209.0	273.0	0.0	27.0	52.0	0.0	3.0	196.0	59.0	1706.0	4536.0	4098.0	67.0	3542.0	3750.0	12245.0	0.0	297.0	65.0	91.0	175.0	94.0	53.0	4175.0	0.0	0.0	61.0	90.0	0.0	30.0	1951.0
Fungi	Ascomycota						0.0	0.0	119.0	18.0	14.0	20.0	36.0	37.0	35.0	40.0	19.0	14.0	30.0	0.0	13.0	0.0	97.0	45.0	0.0	0.0	16.0	16.0	0.0	78.0	12.0	40.0	529.0	0.0	0.0	83.0	102.0	40.0	0.0	17.0	13.0	38.0	21.0	173.0	38.0	2067.0	218.0	159.0	1420.0	2642.0	13.0	15.0	76.0	716.0	19.0	63.0	17.0	91.0	28.0	14.0	325.0	16.0	36.0	17.0	28.0	32.0	22.0	14.0	0.0	0.0	0.0	55.0	22.0	0.0	10.0	42.0	18.0	0.0	39.0	23.0	2593.0	113.0	18.0	0.0	21.0	62.0	358.0	274.0	10866.0	2983.0	128.0	0.0	1569.0	23778.0	43.0	47.0	34.0	32.0	24.0	27.0	18.0	0.0	0.0	34.0	27.0	38.0	810.0	22.0	69.0	39.0	13.0	0.0	112.0	137.0	451.0	451.0	6.0	28.0	377.0	518.0	25.0	91.0	152.0	867.0	3515.0	127.0	74.0	265.0	7936.0	49.0	21.0	30.0	1639.0	14.0	21.0	48.0	37.0	0.0	0.0	18.0
Fungi	Basidiomycota	Agaricomycetes	Russulales	Peniophoraceae	Peniophora	Peniophora_erikssonii	0.0	13.0	23.0	21.0	16.0	0.0	0.0	16.0	31.0	30.0	13.0	21.0	32.0	21.0	157.0	0.0	36.0	0.0	0.0	0.0	26.0	11.0	9.0	58.0	15.0	46.0	33.0	9.0	14.0	17.0	7.0	21.0	38.0	19.0	15.0	11.0	13.0	111.0	50.0	30.0	23.0	0.0	0.0	0.0	11.0	12.0	48.0	27.0	0.0	31.0	31.0	8.0	0.0	17.0	24.0	0.0	20.0	0.0	0.0	12.0	13.0	11.0	151.0	6.0	15.0	37.0	32.0	0.0	15.0	28.0	17.0	21.0	17.0	58.0	50.0	158.0	30.0	0.0	0.0	162.0	15.0	19.0	620.0	858.0	12.0	0.0	19.0	20.0	112.0	4041.0	5698.0	2903.0	142.0	1038.0	791.0	12.0	0.0	11.0	9.0	11.0	16.0	0.0	22.0	226.0	1739.0	436.0	31.0	109.0	74.0	302.0	376.0	20.0	5110.0	20281.0	7133.0	44.0	1172.0	31.0	63.0	13.0	66.0	33.0	32.0	234.0	26.0	0.0	78.0	14.0	21.0	42.0	64.0	0.0	9.0	23.0
Fungi	Basidiomycota	Agaricomycetes	Russulales	Peniophoraceae	Peniophora	unidentified	0.0	29.0	370.0	0.0	0.0	0.0	1417.0	166.0	27.0	65.0	0.0	50.0	104.0	0.0	0.0	0.0	159.0	0.0	0.0	0.0	86.0	0.0	31.0	74.0	0.0	51.0	0.0	0.0	75.0	0.0	267.0	41.0	83.0	0.0	0.0	37.0	0.0	94.0	0.0	69.0	125.0	0.0	0.0	137.0	35.0	117.0	128.0	42.0	47.0	23.0	37.0	0.0	0.0	0.0	174.0	0.0	44.0	23.0	0.0	37.0	0.0	42.0	115.0	16.0	0.0	105.0	0.0	0.0	34.0	41.0	0.0	252.0	49.0	0.0	8463.0	290.0	15234.0	0.0	26.0	107.0	32.0	362.0	6877.0	4873.0	37.0	0.0	67.0	38.0	150.0	1947.0	326.0	595.0	407.0	658.0	1110.0	35.0	22.0	0.0	0.0	55.0	1517.0	87.0	0.0	60.0	1489.0	9.0	32.0	128.0	1263.0	2373.0	154.0	0.0	179.0	590.0	463.0	87.0	2862.0	3167.0	11635.0	45.0	440.0	3005.0	16804.0	106.0	0.0	58.0	1407.0	38.0	62.0	45.0	0.0	0.0	0.0	2272.0
