CouponTime,CouponId,Category,ATP,Day,TimePoint,WetCycling,Material,WetMat,Sample,Materials,RH,Objects/mL,Objects/cm2,gDNA well,gDNA plate,spore_density,hyphae_length
40.T4,40,OSB,126,49,,Cycling,Oreiented Strand Board,,7.4,OSB,CYC,,,D4,7,,
41.T4,41,GW,9637,49,,Wet,Gypsum,,7.41,GW,WET,4575000,45750,D5,7,1973.521,1903.279
42.T4,42,GW,2240,49,,Wet,Gypsum,,7.42,GW,WET,,,D6,7,,
43.T4,43,GW,1325,49,,Wet,Gypsum,,7.43,GW,WET,18727000,187270,D7,7,388.3199,395.54
44.T4,44,GW,1928,49,,Wet,Gypsum,,7.44,GW,WET,,,D8,7,,
45.T4,45,GW,3777,49,,Wet,Gypsum,,7.45,GW,WET,33306000,333060,D9,7,560.08,1496.066
46.T4,46,GW,336,49,,Wet,Gypsum,,7.46,GW,WET,,,D10,7,,
47.T4,47,GW,1994,49,,Wet,Gypsum,,7.47,GW,WET,7503000,75030,D11,7,1390.983,1531.318
48.T4,48,GW,867,49,,Wet,Gypsum,,7.48,GW,WET,,,D12,7,,
49.T4,49,GW,na,49,,Wet,Gypsum,,7.49,GW,WET,78324000,783240,E1,7,713.1,15.009
50.T4,50,GW,802,49,,Wet,Gypsum,,7.5,GW,CYC,,,E2,7,,
51.T4,51,GW,4701,49,,Cycling,Gypsum,,7.51,GW,CYC,2257000,22570,E3,7,155.182,1264.198
52.T4,52,GW,3293,49,,Cycling,Gypsum,,7.52,GW,CYC,,,E4,7,,
53.T4,53,GW,4068,49,,Cycling,Gypsum,,7.53,GW,CYC,4636000,46360,E5,7,53.33,560.949
54.T4,54,GW,2469,49,,Cycling,Gypsum,,7.54,GW,CYC,,,E6,7,,
55.T4,55,GW,3947,49,,Cycling,Gypsum,,7.55,GW,CYC,7381000,73810,E7,7,122.354,1080.241
56.T4,56,GW,1574,49,,Cycling,Gypsum,,7.56,GW,CYC,,,E8,7,,
57.T4,57,GW,2528,49,,Cycling,Gypsum,,7.57,GW,CYC,3233000,32330,E9,7,78.433,440.763
58.T4,58,GW,2596,49,,Cycling,Gypsum,,7.58,GW,CYC,,,E10,7,,
59.T4,59,GW,4631,49,,Cycling,Gypsum,,7.59,GW,CYC,4575000,45750,E11,7,155.332,861.989
60.T4,60,GW,2632,49,,Cycling,Gypsum,,7.6,GW,CYC,,,E12,7,,
,,,,,,,,,Neg.7,NA,NA,,,H1,7,,
,,,,,,,,,Pos.7,NA,NA,,,H12,7,,
