#OTU ID	1.T0	1.T1	1.T2	1.T3	1.T4	10.T1	10.T2	10.T3	10.T4	11.T0	11.T1	11.T3	12.T1	12.T2	12.T3	12.T4	13.T1	13.T2	13.T3	13.T4	14.T1	14.T3	15.T0	15.T1	15.T3	15.T4	16.T1	16.T2	16.T3	16.T4	17.T2	17.T3	17.T4	18.T1	18.T4	19.T3	2.T1	2.T2	2.T3	2.T4	20.T1	20.T4	21.T0	21.T1	21.T3	21.T4	22.T0	22.T1	22.T2	22.T3	22.T4	23.T2	23.T3	23.T4	24.T1	24.T2	24.T3	24.T4	25.T1	25.T2	25.T3	25.T4	26.T1	26.T2	26.T4	27.T2	27.T3	27.T4	28.T1	28.T3	28.T4	29.T1	29.T2	29.T3	29.T4	3.T3	3.T4	30.T1	30.T2	30.T3	30.T4	31.T0	31.T1	31.T2	31.T3	31.T4	32.T1	32.T2	32.T3	32.T4	33.T0	33.T2	33.T4	34.T1	34.T2	34.T3	34.T4	35.T2	35.T3	35.T4	36.T1	36.T2	36.T3	36.T4	37.T1	37.T2	37.T3	37.T4	38.T1	38.T2	38.T3	38.T4	39.T2	39.T4	4.T1	4.T2	4.T3	40.T2	40.T3	40.T4	41.T0	41.T1	41.T2	42.T1	42.T2	42.T3	42.T4	43.T1	43.T2	43.T3	43.T4	44.T2	44.T3	44.T4	45.T0	45.T1	45.T2	45.T3	45.T4	46.T1	46.T2	46.T3	46.T4	47.T1	47.T2	47.T3	47.T4	48.T1	48.T2	48.T3	48.T4	49.T1	49.T2	49.T3	49.T4	5.T0	5.T1	5.T2	5.T3	50.T1	50.T2	50.T3	50.T4	51.T0	51.T1	51.T2	51.T3	51.T4	52.T1	52.T2	52.T3	53.T1	53.T2	53.T3	54.T1	54.T2	54.T3	55.T0	55.T1	55.T2	55.T3	55.T4	56.T1	56.T2	56.T4	57.T1	57.T2	57.T3	57.T4	58.T1	58.T2	58.T3	58.T4	59.T1	59.T2	59.T3	59.T4	6.T1	6.T2	6.T3	6.T4	60.T1	60.T2	60.T3	60.T4	7.T2	7.T3	7.T4	8.T1	8.T3	8.T4	9.T1	9.T2	9.T3	9.T4
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus_fermentum	91	130	0	64	23	0	25	36	0	24	0	0	1178	0	64	0	84	0	0	0	0	0	204	0	0	0	10	36	0	0	30	0	0	75	0	43	0	324	0	0	87	123	0	117	62	0	0	22	11	0	13	0	0	0	148	48	0	0	0	52	0	0	0	0	0	0	0	21	0	28	0	0	233	92	73	0	0	147	0	0	0	0	0	0	0	0	0	0	0	0	21	27	0	0	0	3	0	0	13	0	382	269	205	0	0	0	0	0	26	0	0	0	0	0	0	180	0	19	0	183	0	0	0	0	50	0	0	0	0	0	0	217	0	0	0	0	0	0	0	93	0	0	22	0	0	0	0	32	264	1188	122	0	0	0	0	0	0	0	0	0	0	0	0	184	0	0	0	0	0	0	0	0	0	0	0	6	0	1463	0	0	109	53	0	218	0	0	819	0	0	420	0	0	0	0	302	0	0	0	0	0	0	71	1217	1515	193	0	0	0	0	0	0	423	133	0	0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Phenylobacterium;__	0	35	0	0	0	0	0	0	0	0	0	0	0	0	116	68	0	0	19	0	0	0	0	0	63	0	19	0	0	0	0	0	0	0	0	4	0	0	0	0	12	0	0	0	165	1303	0	0	15	93	950	0	143	1129	0	0	60	1020	34	0	43	348	8	0	270	0	0	528	0	159	196	0	53	0	293	0	54	0	0	147	589	0	0	0	0	0	22	0	0	61	8	0	0	0	0	0	0	0	0	162	0	0	80	18	0	0	0	31	0	0	22	0	0	152	0	0	0	0	0	136	0	0	0	3	0	0	18	3	0	87	0	0	0	0	0	0	0	9	0	6	0	0	162	0	0	0	0	0	0	0	6	0	0	0	4	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia-Shigella;__	155	685	91	0	142	0	50	0	0	235	152	0	4241	140	438	0	501	11	55	181	25	61	19	149	0	22	271	58	141	0	128	0	0	31	0	26	201	1697	188	105	86	126	51	72	29	28	251	31	0	0	42	0	0	37	301	374	72	54	5	592	0	0	29	0	34	0	71	0	27	44	32	99	244	31	48	74	0	421	0	0	27	0	0	0	0	28	132	0	0	0	90	15	0	0	0	36	0	0	0	0	1923	1393	995	0	43	0	46	0	198	5	140	0	0	0	108	721	97	20	37	227	139	238	28	72	0	0	130	0	0	32	0	157	0	54	24	0	44	120	56	60	26	24	0	51	77	160	0	371	1325	1148	46	0	157	42	0	0	63	82	0	119	41	101	0	1438	43	44	220	283	0	80	0	145	0	0	0	64	0	6315	0	69	71	74	108	847	69	0	2563	0	0	1860	0	0	15	60	2233	0	19	75	19	0	6	43	4888	5385	674	0	0	0	365	0	0	1714	590	64	21
d__Eukaryota;p__Mucoromycota;c__Incertae_Sedis;o__Mucorales;f__Syncephalastraceae;g__Syncephalastrum;s__Syncephalastrum_racemosum	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	95	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91	140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	152	948	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia-Caballeronia-Paraburkholderia;__	63	5	0	230	18	0	0	0	0	369	0	0	0	0	18	0	0	0	0	68	38	0	200	0	0	0	0	0	8	201	0	0	0	0	0	0	0	0	19	375	22	22	136	0	0	0	356	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	39	42	0	0	0	0	20	0	0	0	997	27	19	0	0	0	0	0	0	241	0	0	0	0	22	0	44	0	0	0	0	0	0	67	34	0	0	0	49	0	0	183	0	0	0	0	44	0	0	490	0	90	0	150	47	0	4	51	0	0	75	0	56	496	0	66	0	0	0	22	0	0	0	79	62	0	0	50	0	0	0	37	0	0	296	0	0	0	7	62	0	0	339	0	85	36	118	0	99	234	0	24	0	0	66	174	0	0	107	0	9	0	63	0	0	0	16	0	0	136	0	287	27	41	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces;__	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	8	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	54	0	0	0	0	0	9	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	17	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	4	0	0	0	0	0	0	12	0	0	0	0	0	242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	20	174	83	0	0	0	0	0	24	0	0	0	0	32	20	24	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	15	136	360	377	45	113	234	0	78	52	0	104	0	0	0	90	0	0	0	0	0	0	0	0	32	0	0	0	0	96	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas;__	45	21	0	238	127	0	17	108	0	205	0	0	0	0	47	50	7	3	15	0	0	0	0	5	90	5	29	0	2	0	29	67	0	0	0	7	0	7	92	0	18	0	0	33	0	606	0	0	444	648	1009	0	313	818	0	13	0	301	32	0	0	76	0	0	450	0	32	143	4	213	1042	8	66	8	216	41	25	0	0	157	433	0	0	0	0	515	36	14	0	714	10	0	0	0	0	0	0	82	160	3989	0	10	33	513	0	184	46	233	0	0	262	179	0	922	0	0	0	34	800	382	21	0	0	0	13	84	14	0	72	89	0	0	0	11	0	19	0	0	0	10	0	0	0	0	0	24	0	0	0	0	0	0	0	17	0	10	0	0	38	0	0	31	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	46	0	41	41	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	5	0	10	22	104	0	10	0	0	104	207	87	0	7	75	0	0	1233	638
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;__	159	0	0	24	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	482	0	0	0	0	0	0	122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	174	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	131	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	120	26	0	298	0	0	0	0	0	37	0	0	0	0	8	0	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Paenibacillales;f__Paenibacillaceae;g__Paenibacillus;__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	34	182	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	27	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	0	0	39	10	0	106	44	0	30	0	26	51	0	16	0	0	0	39	40	0	17	308	77	0	0	329	35	0	0	0	0	0	32	61	0	0	0	0	0	0	0	0	0	0	0	0	370	167	0	0	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Roseomonas;__	0	9	0	0	3	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	6	0	0	0	0	8	0	0	0	9	0	0	0	0	10	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	16	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	1783	775	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;__;__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	4	0	0	0	0	14	0	0	0	0	0	0	7	0	0	0	0	0	0	0	35	0	0	0	0	17	430	0	0	13	161	204	0	30	436	0	0	0	284	0	0	0	63	0	0	58	0	28	167	0	78	80	0	0	0	62	0	8	0	0	53	239	0	0	0	0	44	0	0	0	50	167	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	28	0	0	98	0	0	0	0	30	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Methylophilaceae;g__Methylophilus;__	22	36	0	0	0	0	0	0	0	11	0	0	0	0	163	0	5	0	66	0	0	0	0	12	890	0	69	18	0	369	0	665	0	6	0	5	0	0	258	0	20	0	0	2	389	752	0	0	0	139	325	0	661	558	0	5	104	1040	22	0	0	99	0	0	21	0	111	118	0	202	685	0	91	7	962	14	0	0	31	299	472	0	0	0	0	0	48	8	0	0	4	9	0	0	0	0	0	0	0	0	0	0	37	25	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	15	164	0	19	0	0	0	0	0	228	1599	24	0	0	40	0	0	0	0	0	0	0	14	31	0	14	0	192	0	0	0	19	0	0	0	12	78	0	0	0	0	0	0	0	5	0	17	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	63	50	0	0	0	0	140	286	73	0	0	14	0	0	16	0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Halomonadaceae;g__Halomonas;__	13	0	0	0	0	0	0	0	0	0	26	0	7	0	0	0	28	0	0	0	0	0	91	12	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Methylophilaceae;g__Methylotenera;__	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Enterococcus_faecium	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	22	0	0	7	0	45	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	12	0	0	0	0	12	0	0	0	0	0	0	0	0	0	6	0	7	0	0	0	0	0	0	0	0	21	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	0	59	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	10	0	2	0	31	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	25	0	0	133	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	4	0	0	6	0	7	188	0	9	0	12	11	6	0	0	0	0	0	0	0	0	0	0	0	8	0	0	5	0	0	0	137	0	89	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	7
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Tetragenococcus;s__Tetragenococcus_osmophilus	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	76	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	279	0	5	0	0	0	0	0	0	186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0	0	0	189	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Hydrotalea;s__uncultured_bacterium	0	0	0	0	0	0	0	34	0	0	0	22	0	0	69	0	0	0	10	0	0	27	0	0	85	18	16	0	48	0	0	59	0	0	0	0	0	0	0	124	0	0	0	3	52	0	0	0	70	38	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	36	0	36	44	28	0	0	0	0	0	0	0	0	0	0	99	0	0	0	32	0	0	0	0	0	0	12	0	21	0	0	0	14	0	0	0	15	6	0	0	30	12	0	87	0	0	0	0	42	50	31	0	0	20	0	93	417	0	0	55	0	0	60	0	0	0	0	53	33	0	0	21	57	0	0	35	55	0	0	31	0	0	11	25	163	0	0	0	0	12	0	33	84	0	0	3	81	153	3	0	85	232	0	98	92	0	40	0	14	0	71	0	0	0	51	0	0	24	115	0	0	84	42	0	0	45	198	0	0	0	16	0	0	20	0	0	0	10	0	0	102	0	0	0	39	0
d__Eukaryota;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Cryptococcaceae;g__Cryptococcus;__	0	0	0	0	5	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	12	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	16	17	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__Aerococcus;__	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	19	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;__;__	345	797	76	100	149	0	20	46	6	276	221	0	4259	129	377	0	400	17	0	101	0	0	318	231	0	79	282	0	127	0	132	18	0	31	0	93	237	1816	196	122	79	153	0	64	43	0	203	0	21	47	10	0	0	0	318	187	0	0	0	607	0	0	79	0	0	0	49	41	94	41	0	116	334	22	54	0	0	487	0	0	0	58	117	0	0	0	164	0	0	12	15	23	0	44	0	0	0	66	0	24	2260	1449	716	14	0	0	48	0	292	0	218	7	0	0	46	728	161	0	0	230	0	312	0	62	45	43	113	0	54	0	0	98	0	25	0	0	40	148	0	55	0	0	35	49	0	192	0	306	1209	1456	50	110	152	51	0	0	78	90	0	125	50	146	0	1730	43	81	164	361	0	0	0	88	63	5	0	66	0	6544	0	0	59	68	112	877	0	51	2941	0	0	2012	72	0	0	67	2143	35	13	80	0	57	0	32	4959	5533	706	29	7	0	192	0	0	1564	526	36	0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Microbacteriaceae;__;__	0	7	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	121	0	46	53	0	0	0	0	0	35	16	0	0	0	0	0	0	0	0	0	8	3	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	144	11	0	0	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	187	0	0	0	0	0	0	0	154	248	0	0	91	0	0	0	0	0	0	33	596	0	273	0	0	45	0	0	0	0	65	0	0	0	177	0	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0
d__Bacteria;p__Deinococcota;c__Deinococci;o__Deinococcales;f__Deinococcaceae;g__Deinococcus;s__Deinococcus_geothermalis	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;__	436	1100	145	0	196	24	0	0	0	0	237	0	8514	64	618	13	402	0	55	179	0	78	158	146	274	0	274	0	166	0	214	0	0	0	43	50	366	2441	236	219	0	0	0	0	0	26	128	0	0	0	0	0	0	16	373	487	124	37	161	816	0	0	73	0	25	17	62	0	52	64	0	119	0	0	0	77	0	494	0	0	0	408	146	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	41	21	2631	2003	1389	0	33	0	35	0	200	0	368	0	10	0	107	1134	167	0	0	0	19	248	0	38	10	0	201	0	0	14	0	0	3	65	0	11	34	0	23	0	0	8	0	38	80	200	0	543	1995	8758	0	91	147	74	0	0	78	159	0	0	84	258	0	1654	64	89	212	428	0	178	85	184	72	0	0	57	0	12148	0	122	0	97	161	1785	0	30	5793	0	0	3173	57	0	0	70	2701	10	11	47	0	170	0	0	7922	10045	1396	20	0	17	392	0	0	2909	961	0	0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas_balearica	73	0	0	0	0	0	0	0	0	266	0	0	0	0	0	0	0	0	0	0	0	0	299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;__;__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
