#OTU ID	1.T0	1.T1	1.T2	1.T3	1.T4	10.T1	10.T2	10.T3	10.T4	11.T0	11.T1	11.T3	12.T1	12.T2	12.T3	12.T4	13.T1	13.T2	13.T3	13.T4	14.T1	14.T3	15.T0	15.T1	15.T3	15.T4	16.T1	16.T2	16.T3	16.T4	17.T2	17.T3	17.T4	18.T1	18.T4	19.T3	2.T1	2.T2	2.T3	2.T4	20.T1	20.T4	21.T0	21.T1	21.T3	21.T4	22.T0	22.T1	22.T2	22.T3	22.T4	23.T2	23.T3	23.T4	24.T1	24.T2	24.T3	24.T4	25.T1	25.T2	25.T3	25.T4	26.T1	26.T2	26.T4	27.T2	27.T3	27.T4	28.T1	28.T3	28.T4	29.T1	29.T2	29.T3	29.T4	3.T3	3.T4	30.T1	30.T2	30.T3	30.T4	31.T0	31.T1	31.T2	31.T3	31.T4	32.T1	32.T2	32.T3	32.T4	33.T0	33.T2	33.T4	34.T1	34.T2	34.T3	34.T4	35.T2	35.T3	35.T4	36.T1	36.T2	36.T3	36.T4	37.T1	37.T2	37.T3	37.T4	38.T1	38.T2	38.T3	38.T4	39.T2	39.T4	4.T1	4.T2	4.T3	40.T2	40.T3	40.T4	41.T0	41.T1	41.T2	42.T1	42.T2	42.T3	42.T4	43.T1	43.T2	43.T3	43.T4	44.T2	44.T3	44.T4	45.T0	45.T1	45.T2	45.T3	45.T4	46.T1	46.T2	46.T3	46.T4	47.T1	47.T2	47.T3	47.T4	48.T1	48.T2	48.T3	48.T4	49.T1	49.T2	49.T3	49.T4	5.T0	5.T1	5.T2	5.T3	50.T1	50.T2	50.T3	50.T4	51.T0	51.T1	51.T2	51.T3	51.T4	52.T1	52.T2	52.T3	53.T1	53.T2	53.T3	54.T1	54.T2	54.T3	55.T0	55.T1	55.T2	55.T3	55.T4	56.T1	56.T2	56.T4	57.T1	57.T2	57.T3	57.T4	58.T1	58.T2	58.T3	58.T4	59.T1	59.T2	59.T3	59.T4	6.T1	6.T2	6.T3	6.T4	60.T1	60.T2	60.T3	60.T4	7.T2	7.T3	7.T4	8.T1	8.T3	8.T4	9.T1	9.T2	9.T3	9.T4
d__Eukaryota;p__Mucoromycota;c__Incertae_Sedis;o__Mucorales;f__Syncephalastraceae;g__Syncephalastrum;s__Syncephalastrum_monosporum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	193	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__uncultured;s__uncultured_bacterium	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Ralstonia;__	0	17	0	145	10	0	41	115	0	13	0	123	0	15	214	0	34	0	33	0	0	76	94	17	213	67	0	0	234	0	14	194	0	42	0	397	13	0	126	0	25	0	5	0	97	0	0	0	201	104	2	0	87	0	0	0	0	31	53	0	25	0	0	0	0	0	85	0	0	116	0	132	96	92	56	73	0	0	0	35	0	106	0	0	314	0	63	23	96	7	7	14	0	33	29	0	0	134	80	0	0	80	0	0	0	98	24	0	0	124	78	0	357	0	0	18	74	237	135	154	0	13	181	0	317	1131	0	0	200	129	0	364	0	0	0	0	214	138	0	39	92	131	0	28	205	360	0	0	150	68	30	36	129	392	0	0	12	0	61	0	101	223	0	15	47	118	377	0	9	250	689	0	249	306	0	194	178	59	0	347	20	0	15	195	0	0	142	309	0	0	425	138	0	0	137	505	9	16	0	55	0	0	83	67	0	0	84	0	0	359	0	0	0	132	0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__Herbaspirillum;__	0	9	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	164	122	38	0	0	8	0	0	0	0	13	0	0	0	0	31	0	0	82	10	0	0	0	0	0	0	0	0	0	0	28	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	165	110	13	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	4	0	0	0	0	0	0	133	0	0	0	150	0	0	9	33	0	0	17	250	0	0	345	0	0	0	0	236	0	112	0	0	227	0	338	0	0	0	227	0	0	299	0	0	0	0	169	0	0	0	123	0	41	0	224	0	0	0	166	0	0	26	156	0	0	0	0	0	0	0	49	0	0	0	0	234	0	0	0	196	0	0	281	0	0	233	0	4	0	297	0	0	0	290	0	0	252	0	0	0	542	0	0	0	213	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;__	131	411	19	10	61	0	26	5	9	180	134	0	1631	62	125	0	194	0	18	39	0	25	226	0	58	9	129	0	56	0	8	0	0	0	0	22	119	615	56	134	38	54	3	31	13	0	31	0	0	14	2	0	0	0	122	98	17	0	0	217	0	0	25	0	0	0	23	12	26	22	0	46	150	12	22	27	0	170	0	0	0	0	0	0	0	0	93	0	0	0	14	6	0	0	0	10	0	0	0	0	995	381	390	0	0	0	14	0	98	0	131	0	0	0	76	285	54	0	0	164	0	109	0	17	8	0	48	0	0	0	0	78	0	0	0	0	16	0	9	0	0	0	11	0	37	153	159	123	439	829	18	37	62	25	0	85	17	35	156	51	10	58	0	654	33	24	85	168	0	45	0	0	29	0	0	2	0	2804	0	40	32	29	49	363	0	17	906	0	0	827	0	0	23	20	853	0	9	40	0	7	0	17	2199	2786	380	0	0	0	132	0	0	991	258	12	6
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingobium;__	486	137	133	0	236	529	116	347	0	112	23	76	68	234	1082	149	106	150	66	298	81	115	0	79	1984	154	383	115	71	1244	615	1937	330	0	0	493	71	47	1558	795	378	100	11	6	1923	6821	0	21	21	8689	8540	37	3622	4353	0	136	473	3322	561	24	79	3578	2319	37	974	3464	7777	7103	60	4976	11994	148	930	633	9012	0	566	39	45	2364	1863	0	35	0	88	127	0	144	0	21	113	55	0	52	9	0	140	86	0	202	25	0	443	466	23	0	0	0	65	7	221	400	22	0	34	21	29	0	64	4856	76	44	140	79	202	132	54	95	138	11303	3145	159	0	22711	166	118	20	895	15266	76	30	3917	12723	44	0	101	0	11	45	90	2281	207	0	286	2793	0	45	77	0	83	43	2350	1169	120	719	102	130	69	21	0	107	0	0	112	157	52	204	229	0	116	392	0	0	26	0	0	53	0	0	23	0	37	647	14094	82	323	210	0	126	0	2806	0	42	203	47	1494	2825	2302	38	0	0	323	0	238	90
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylobacterium-Methylorubrum;__	99	13	0	0	4	0	0	55	0	0	0	0	0	4	46	20	0	10	24	0	0	0	382	0	35	23	41	7	0	0	5	28	16	0	13	37	0	0	67	0	26	0	0	0	93	820	0	5	53	869	676	89	137	1300	0	0	6	230	134	0	31	124	24	370	498	729	220	1428	0	90	92	0	117	69	123	17	137	0	0	20	135	0	0	11	37	190	55	0	0	89	5	0	213	0	94	22	86	0	0	501	0	0	41	223	198	14	0	33	0	89	235	150	23	248	0	0	0	0	179	618	13	0	27	5	84	188	27	14	195	166	550	81	0	1145	52	18	0	0	754	0	20	92	216	0	0	203	153	0	0	35	16	0	41	334	40	63	0	0	12	0	0	138	66	0	54	12	44	0	5	0	154	0	0	0	0	23	0	52	57	113	34	59	0	0	0	0	0	23	0	0	0	15	145	239	5	69	75	0	0	0	41	32	0	23	27	95	103	0	0	83	57	0	0	530	138
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingopyxis;__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	129	0	0	0	0	0	0	67	0	0	0	0	0	0	0	139	0	0	0	0	18	273	32	0	29	152	299	0	0	229	0	0	0	254	0	0	0	163	0	0	100	0	0	51	0	57	119	2	0	4	129	10	0	0	0	0	348	0	0	0	9	158	9	0	0	98	0	0	141	0	0	0	0	0	0	372	0	0	19	82	0	0	0	54	0	0	0	0	0	69	0	0	0	0	62	51	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Aquabacterium;__	0	101	0	0	9	0	175	17	0	13	0	0	0	0	0	168	0	0	0	0	0	0	0	0	269	12	60	0	0	0	9	202	0	0	54	76	0	0	0	118	50	0	8	80	202	2500	0	0	0	477	1150	0	325	4705	0	12	42	1333	0	0	0	155	0	0	0	0	0	371	14	193	1516	0	153	9	1340	0	0	0	0	183	5270	0	0	0	0	0	0	0	0	12	9	0	0	0	0	0	0	0	0	0	0	0	0	92	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0	323	0	0	72	24	0	0	67	0	0	0	0	3	0	0	0	144	0	8	0	0	7	0	0	0	0	0	7	0	0	0	17	0	0	0	0	0	0	0	0	89	0	0	0	0	19	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	2	0	0	0	45	0	0	12	0	27	0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Novosphingobium;__	14	26	68	0	0	0	55	0	0	0	0	0	0	0	119	0	0	25	0	55	0	0	0	0	39	10	19	0	0	0	0	60	0	0	42	24	0	0	0	0	0	0	0	180	0	152	0	0	20	450	681	0	94	386	0	15	0	249	0	0	0	61	0	0	167	0	0	525	0	954	86	0	0	15	114	0	62	0	0	504	322	0	0	0	0	0	95	0	0	0	0	28	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	11	14	40	0	0	0	0	0	43	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	21	62	0	34	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	11	0	0	0	0	0	0	0	0	8	0	29	0
