CouponTime	faith_pd
1.T0	1.993098886048564
1.T1	2.509403621270581
1.T3	3.270276830933093
1.T4	3.131424750936611
10.T3	3.371796840870156
10.T4	1.445739958019467
11.T0	1.660547753318813
11.T1	1.757268955807205
12.T1	2.09553982245024
12.T3	4.452710206442642
13.T1	3.140914321963475
13.T3	3.578646244114902
13.T4	3.419283518419535
15.T0	1.777825941487799
15.T3	3.71780907313247
16.T3	2.148156282842706
16.T4	1.891704997670411
17.T3	2.701718077956467
19.T3	1.847161428366825
2.T1	2.975383514811973
2.T2	3.155871572249683
2.T3	3.53347158519373
2.T4	3.709961089938892
21.T3	2.139124416377765
21.T4	3.66751086819008
22.T0	1.879529228760684
22.T2	3.798863160231363
22.T3	2.906379063137617
22.T4	3.801310751960921
23.T3	3.946014163790931
23.T4	4.384431590193985
24.T1	3.046674264500569
24.T2	2.911605332962202
24.T3	2.259576698703901
24.T4	3.713613628000679
25.T1	2.63283227393765
25.T2	2.782164227882562
25.T3	3.006295271887877
25.T4	3.431862452025756
26.T1	2.937510586072934
26.T4	3.564662609393598
27.T2	2.751359076552288
27.T3	3.108482031477804
27.T4	3.539011788808704
28.T3	3.840552426294606
28.T4	3.498337183921981
29.T3	2.298078399739707
29.T4	2.894545891803143
3.T4	2.08643832119495
30.T1	2.852876018172868
30.T3	3.313884841822547
30.T4	3.42257757669135
31.T0	1.65986772051624
31.T2	2.678987217825566
31.T3	3.542098155972221
31.T4	3.321994793455065
32.T2	2.838717541437324
32.T4	3.536017078651755
33.T4	2.750756665096621
34.T2	1.757827732232428
34.T4	1.795118121726198
35.T2	2.41040978194994
35.T4	2.443049031206187
36.T1	2.89074437520674
36.T2	3.264828865509682
36.T3	2.728267660750465
36.T4	3.497234177182468
37.T1	2.457518775812017
37.T2	2.828917426947272
37.T4	2.84682677692819
38.T1	1.817923661411839
38.T2	3.352979931525387
38.T3	4.323233896087232
38.T4	2.757226595881904
39.T2	2.6772711834608
39.T4	2.223161899187095
4.T2	3.115261432387815
40.T2	2.13821019914159
40.T3	2.921105839194452
40.T4	2.103229421117561
41.T1	2.089088919438028
41.T2	3.181355070070137
42.T1	1.936156032456509
42.T2	2.588991791651876
42.T3	3.671606039549051
42.T4	1.661433419827368
43.T1	2.733665480934889
43.T2	3.898232269459988
43.T3	3.321338480144835
43.T4	2.512388535975211
44.T2	2.913340735278255
44.T4	2.422306867493317
45.T0	2.582912642726149
45.T1	3.037036793446338
45.T3	1.970655301893453
45.T4	3.251613351414263
46.T2	2.851138011244834
46.T3	3.540038413977409
46.T4	3.431419336490717
47.T1	3.159164786027861
47.T2	3.771107534775347
47.T3	3.80846664040963
47.T4	2.721077277135325
48.T1	2.907693386088298
48.T2	2.721002963327066
48.T3	2.751292617756974
48.T4	1.496343552979477
49.T1	2.756813186565958
49.T2	3.698224313440445
49.T3	4.275691319616334
49.T4	4.057953789856947
50.T1	2.436227438197059
50.T2	3.020043704563859
50.T3	3.829087817252866
50.T4	2.650928352312513
51.T0	2.465294466528296
51.T1	1.779896603159189
51.T2	2.862924119838593
51.T3	4.046976920031456
51.T4	2.927471363504693
52.T1	2.520128217905143
52.T2	3.133221676694244
52.T3	4.234497877915658
53.T1	1.766093603312622
53.T2	3.3151113845926
53.T3	3.004327257720586
54.T1	2.306712459692746
54.T2	3.85882688099735
54.T3	1.784900013890236
55.T0	1.989731908139617
55.T1	1.712815405843387
55.T2	4.040037774862164
56.T1	1.953776122673693
56.T2	2.361531419456777
57.T2	2.3565181182993
57.T3	3.411125533458768
58.T1	2.355027647735871
58.T2	3.15268542545948
58.T4	2.358323530117881
59.T1	3.529773828850606
59.T2	3.865715955728105
59.T3	3.975550222063547
6.T4	3.052714852335626
60.T1	2.869465658686069
60.T2	3.181449769298387
60.T3	3.639639090677042
60.T4	2.234870108476523
7.T2	2.237018619186871
7.T3	3.056714395687014
7.T4	2.836067768392832
8.T1	2.798025484962463
8.T3	2.246614782811583
8.T4	1.965158853371364
9.T1	3.056814675556808
9.T2	2.060359123570035
9.T3	3.237298557861087
9.T4	2.108786680872077
