CouponTime	Evenness
1.T0	0.932271830745757
1.T1	0.9700386501135037
1.T3	0.9533800002487077
1.T4	0.7183386979800865
10.T3	0.8690618989918457
10.T4	0.9564234007662856
11.T0	0.9094953480179802
11.T1	0.9338959553072654
12.T1	0.941583885899831
12.T3	0.9690839442470528
13.T1	0.9636984166764454
13.T3	0.7603489579956598
13.T4	0.8806464794361707
15.T0	0.9566706111829509
15.T3	0.9559836552492822
16.T3	0.934173634982424
16.T4	0.9657044869866999
17.T3	0.9503452528907924
19.T3	0.8830562654992864
2.T1	0.9547974019006622
2.T2	0.9331195057564511
2.T3	0.9482079717599844
2.T4	0.9443081673932567
21.T3	0.9292014800937232
21.T4	0.8576522956962329
22.T0	0.9669654149402593
22.T2	0.8319117730492995
22.T3	0.8740899299042993
22.T4	0.862762297612824
23.T3	0.901821478472024
23.T4	0.8804004997128199
24.T1	0.9449011156017092
24.T2	0.9368820673504272
24.T3	0.9599198019850681
24.T4	0.9359234326509791
25.T1	0.9202561637161315
25.T2	0.7453382564610097
25.T3	0.7791141703174409
25.T4	0.7926205135761151
26.T1	0.8792905440830163
26.T4	0.8868245411238713
27.T2	0.8611046508916158
27.T3	0.8141684232047361
27.T4	0.8983899216747444
28.T3	0.9064442190864689
28.T4	0.8252952553606379
29.T3	0.9556912457553867
29.T4	0.8310448059165231
3.T4	0.9360604124515082
30.T1	0.9685321769063954
30.T3	0.9109676520107801
30.T4	0.8513828948247913
31.T0	0.9736160568483415
31.T2	0.9679335108812273
31.T3	0.8586766925508539
31.T4	0.8951158602227417
32.T2	0.8452567894286248
32.T4	0.8344147048309251
33.T4	0.9550374814073591
34.T2	0.9564879153330342
34.T4	0.9279922111556671
35.T2	0.8992392261359471
35.T4	0.9255334056350635
36.T1	0.9589554367890618
36.T2	0.9646385020688716
36.T3	0.9728890023729071
36.T4	0.9080182883285551
37.T1	0.9349153468472031
37.T2	0.9619991880387733
37.T4	0.9627435677967119
38.T1	0.9486691278448457
38.T2	0.9597617321106651
38.T3	0.9365282459133214
38.T4	0.952943380969734
39.T2	0.9489646959723609
39.T4	0.9212719111496414
4.T2	0.9739384928526647
40.T2	0.9430482901471622
40.T3	0.9461257913081453
40.T4	0.9051611940014992
41.T1	0.9554763910367086
41.T2	0.8429354127669446
42.T1	0.9104558766612698
42.T2	0.9093679891387912
42.T3	0.7676451247029272
42.T4	0.8812951309230329
43.T1	0.9473411009955565
43.T2	0.9343571600567406
43.T3	0.8153325884100374
43.T4	0.9089954035386852
44.T2	0.9659717034071436
44.T4	0.817246023822313
45.T0	0.9485774740020425
45.T1	0.9298804408284941
45.T3	0.951275132457263
45.T4	0.896439866417815
46.T2	0.9104657019637347
46.T3	0.8711705832876258
46.T4	0.8297720238473839
47.T1	0.9534026304319443
47.T2	0.9474418063413742
47.T3	0.8067892200706799
47.T4	0.896625439044739
48.T1	0.9522787860736279
48.T2	0.9547203128490916
48.T3	0.896055959983844
48.T4	0.9756663179236842
49.T1	0.8201333233116808
49.T2	0.8545403526637531
49.T3	0.8195761445403199
49.T4	0.9481264289278643
50.T1	0.939527814221827
50.T2	0.9061231906007605
50.T3	0.8493648584934076
50.T4	0.9471138170782724
51.T0	0.9686404426564792
51.T1	0.927711076376448
51.T2	0.9255014911545684
51.T3	0.9459899664137545
51.T4	0.8988806751754718
52.T1	0.9513857960507545
52.T2	0.9479054090903614
52.T3	0.9524978259415824
53.T1	0.9412837309960744
53.T2	0.962266736634278
53.T3	0.9644898940045863
54.T1	0.8291797948999405
54.T2	0.9510262278650684
54.T3	0.9521446764568066
55.T0	0.9323883326288784
55.T1	0.9146913433229567
55.T2	0.9441177239596505
56.T1	0.9797441097193549
56.T2	0.9763989857750488
57.T2	0.9345236791392271
57.T3	0.9292960591143095
58.T1	0.9539830550761651
58.T2	0.9628007112863866
58.T4	0.9628796135382323
59.T1	0.7445953212085924
59.T2	0.9487741939839235
59.T3	0.9228192435085404
6.T4	0.8905757576198002
60.T1	0.9370123713401245
60.T2	0.9358577847864635
60.T3	0.9293437676361271
60.T4	0.9699029246671855
7.T2	0.9618363875329103
7.T3	0.8979706297568855
7.T4	0.918866334646422
8.T1	0.9638233362065272
8.T3	0.9473352939305969
8.T4	0.9056607727673919
9.T1	0.9533828084572983
9.T2	0.9722007948783574
9.T3	0.9165945387202845
9.T4	0.8333481605093235
